MSOA_Code,MSOA_Name,house_mean_price,crime_rate,PM_index,education
E02000974,Westminster 015,896165,163,118,454.4
E02000975,Westminster 016,1128554,116,117,515
E02000976,Westminster 017,1056200,197,107,544.5
E02000977,Westminster 018,1724193,1934,119,490.2
E02000978,Westminster 019,4595285,216,108,577.3
E02000979,Westminster 020,997564,236,114,412
E02000980,Westminster 021,697307,72,110,448.3
E02000981,Westminster 022,815800,84,111,472.7
E02000982,Westminster 023,1038693,238,112,448.8
E02000983,Westminster 024,693048,52,111,433.6
,MSOA average for London,395714.6,85.8,100.0,449.4
,,,,,
,,,,,
